name,description,type,level,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"Bộ từ vựng N3 tập 1","Bộ từ vựng N3 đầy đủ dựa theo chuẩn theo chuẩn của JLPT","vocabulary","N3","30","30","1","1","Bài 1","Từ vựng","1","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson1,'}}"
"","","","","","","","","Bài 2","Từ vựng","2","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson2,'}}"
"","","","","","","","","Bài 3","Từ vựng","3","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson3,'}}"
"","","","","","","","","Bài 4","Từ vựng","4","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson4,'}}"
"","","","","","","","","Bài 5","Từ vựng","5","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson5,'}}"
"","","","","","","","","Bài 6","Từ vựng","6","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson6,'}}"
"","","","","","","","","Bài 7","Từ vựng","7","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson7,'}}"
"","","","","","","","","Bài 8","Từ vựng","8","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson8,'}}"
"","","","","","","","","Bài 9","Từ vựng","9","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson9,'}}"
"","","","","","","","","Bài 10","Từ vựng","10","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson10,'}}"
"","","","","","","","","Bài 11","Từ vựng","11","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson11,'}}"
"","","","","","","","","Bài 12","Từ vựng","12","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson12,'}}"
"","","","","","","","","Bài 13","Từ vựng","13","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson13,'}}"
"","","","","","","","","Bài 14","Từ vựng","14","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson14,'}}"
"","","","","","","","","Bài 15","Từ vựng","15","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson15,'}}"
"","","","","","","","","Bài 16","Từ vựng","16","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson16,'}}"
"","","","","","","","","Bài 17","Từ vựng","17","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson17,'}}"
"","","","","","","","","Bài 18","Từ vựng","18","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson18,'}}"
"","","","","","","","","Bài 19","Từ vựng","19","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson19,'}}"
"","","","","","","","","Bài 20","Từ vựng","20","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson20,'}}"
"","","","","","","","","Bài 21","Từ vựng","21","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson21,'}}"
"","","","","","","","","Bài 22","Từ vựng","22","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson22,'}}"
"","","","","","","","","Bài 23","Từ vựng","23","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson23,'}}"
"","","","","","","","","Bài 24","Từ vựng","24","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson24,'}}"
"","","","","","","","","Bài 25","Từ vựng","25","vocabulary","vocabulary","{'level': 'N3', 'tag' : {'contains':',tap1,lesson25,'}}"
